1e7342845e24eb3b5b3554490da1c128|nc|nc
957b527bcfbad2e80f58d20683931435|ip|ip
c935d187f0b998ef720390f85014ed1e|Dog|dog
1d78dc8ed51214e518b5114fe24490ae|map|map
8ca5ae4f49e59b9283569b0fd1477be3|Lit.|lit.
e0ac20adce6ffee48c7151b070aa5737|Device|device
ba0a6ddd94c73698a3658f92ac222f8a|english|english
4ce09bfd1006e2a03a51f1799a693ee8|employment|employment
d93c5c3f5c607825a5fc4517386a111f|Did it work?|did it work?
c1f85c3e06b57b0acd1260ac08209322|Bye for now!|bye for now!
7dfb7963ee87606b442b200645fd8ac9|But it failed.|but it failed.
b2a572918cdc9342ab61aab1e2602919|Playing music.|playing music.
61a7019e668c867e5e4de07809dbc56f|The Early Years|the early years
ce823cb5b7f1c98732b0d7aec799149d|Do you want me?|do you want me?
3ece5cd02a73441af461c318c1ec09b9|I've been there.|i've been there.
b1e6a5896f5ffbe46b913035a8ad5f72|Where is my shoe?|where is my shoe?
1f4a9b0482af9060441f82468d212b57|Work has started.|work has started.
c2891c2fd43614f03cd226aa1599d664|My Dad is a hero.|my dad is a hero.
7baf5a52850a0d3e2511b963286ac1cb|Did you know that?|did you know that?
d430ee155f0a088751c45c196845db5b|Playing next song.|playing next song.
70827258aa6114fa03867756215ec80a|I should think not!|i should think not!
b44ebc383fb0d9bef6fe4c684bc49a87|What is the matter?|what is the matter?
1b5be1bd78cbe22f3844b4bee84e1188|It is set in Paris.|it is set in paris.
abd673aee43720ef7f41d778341486cc|Long live the king.|long live the king.
fda85c89de290addce99163f82a21272|Karl is over there.|karl is over there.
2b5bac4e8d4a1195b3dcad7ede4e60d2|Dimming the lights.|dimming the lights.
c90e5c79309e6e287050a69b8baa7185|Have you met Peter?|have you met peter?
486eedc449eef7aa684b884cbe278347|It should be equal.|it should be equal.
fff9d87590cd02394ed0c17a3b324867|There was no marker.|there was no marker.
daa9a46b368bf06504aeee43a7987b7b|Is he a drug dealer?|is he a drug dealer?
